Country,GDPDispersion,Income Dispersion (I am unsure about Eurostat income data).,"GDP Theil Index (unsafe, do not use without verification).","Income Theil Index (unsafe, do not use without verification).",Year,RegionsConsidered
LT,0,NaN,0,NaN,2002,1
LT,0,NaN,0,NaN,2003,1
LT,0,NaN,0,NaN,2004,1
LT,0,NaN,0,NaN,2005,1
LT,0,NaN,0,NaN,2006,1
LT,0,NaN,0,NaN,2007,1
LT,0,NaN,0,NaN,2008,1
LT,0,NaN,0,NaN,2009,1
NL,14.6,NaN,0.00126,NaN,2000,12
NL,14.6,NaN,0.00124,NaN,2001,12
NL,14.8,NaN,0.00136,NaN,2002,12
NL,14.5,NaN,0.00128,NaN,2003,12
NL,14.8,NaN,0.00133,NaN,2004,12
NL,15.1,NaN,0.00132,NaN,2005,12
NL,14.9,NaN,0.00129,NaN,2006,12
NL,14.4,NaN,0.00119,NaN,2007,12
NL,14.6,NaN,0.00128,NaN,2008,12
NL,14.6,NaN,0.00127,NaN,2009,12
NL,14.7,NaN,0.00131,NaN,2010,12
NL,13.8,NaN,0.00121,NaN,2011,12
NL,14.6,NaN,0.00135,NaN,2012,12
NL,14.8,NaN,0.00148,NaN,2013,12
NL,14.5,NaN,0.00135,NaN,2014,12
NO,NaN,NaN,NaN,NaN,2000,0
NO,NaN,NaN,NaN,NaN,2001,0
NO,NaN,NaN,NaN,NaN,2002,0
NO,NaN,NaN,NaN,NaN,2003,0
NO,NaN,NaN,NaN,NaN,2004,0
NO,NaN,NaN,NaN,NaN,2005,0
NO,NaN,NaN,NaN,NaN,2006,0
NO,NaN,NaN,NaN,NaN,2007,0
NO,NaN,0,NaN,0,2017,0
PL,17.3,NaN,0.00165,NaN,2000,16
PL,17.5,NaN,0.00167,NaN,2001,16
PL,17.1,NaN,0.00157,NaN,2002,16
PL,17.4,NaN,0.0016,NaN,2003,16
PL,18,NaN,0.00163,NaN,2004,16
PL,18.3,NaN,0.00176,NaN,2005,16
PL,18.4,NaN,0.00179,NaN,2006,16
PL,18.6,NaN,0.0018,NaN,2007,16
PL,18.3,NaN,0.0017,NaN,2008,16
PL,19.8,NaN,0.00195,NaN,2009,16
PL,20.6,NaN,0.00212,NaN,2010,16
PL,20.9,NaN,0.00213,NaN,2011,16
PL,20.9,NaN,0.00219,NaN,2012,16
PL,20.8,NaN,0.0022,NaN,2013,16
EA12,23.2,0,0.00027,0,2000,152
EA12,22.8,0,0.00027,0,2001,152
EA12,22.5,0,0.00026,0,2002,152
EA12,22.3,0,0.00023,0,2003,162
EA12,22.1,0,0.00023,0,2004,162
EA12,21.8,0,0.00023,0,2005,162
EA12,21.7,0,0.00022,0,2006,162
EA12,21.9,0,0.00023,0,2007,162
EA12,22.5,0,0.00024,0,2008,162
EA12,22.1,0,0.00023,0,2009,162
EA12,22.8,0,0.00025,0,2010,162
EA12,23.3,0,0.00026,0,2011,162
EA12,23.9,0,0.00028,0,2012,162
EA12,24,0,0.00029,0,2013,162
EA12,24.4,0,0.0003,0,2014,162
EU15,22.3,0,0.00019,0,2000,200
EU15,21.9,0,0.00019,0,2001,200
EU15,21.5,0,0.00018,0,2002,200
EU15,21,0,0.00016,0,2003,210
EU15,20.6,0,0.00016,0,2004,210
EU15,20.5,0,0.00016,0,2005,210
EU15,20.4,0,0.00016,0,2006,210
EU15,21,0,0.00016,0,2007,210
EU15,21.7,0,0.00017,0,2008,210
EU15,21.6,0,0.00017,0,2009,210
EU15,22.1,0,0.00018,0,2010,210
EU15,22.7,0,0.00019,0,2011,210
EU15,23.1,0,0.0002,0,2012,210
EU15,23.1,0,0.00021,0,2013,210
EU15,23.3,0,0.00021,0,2014,210
EU19,28.3,0,0.00028,0,2000,235
EU19,27.8,0,0.00028,0,2001,235
EU19,27.3,0,0.00027,0,2002,235
EU19,26.4,0,0.00024,0,2003,245
EU19,25.9,0,0.00023,0,2004,245
EU19,25.5,0,0.00023,0,2005,245
EU19,25.4,0,0.00022,0,2006,245
EU19,25.6,0,0.00022,0,2007,245
EU19,25.9,0,0.00022,0,2008,245
EU19,25.2,0,0.00021,0,2009,245
EU19,25.6,0,0.00021,0,2010,245
EU19,25.8,0,0.00021,0,2011,245
EU19,25.9,0,0.00022,0,2012,245
EU19,25.8,0,0.00022,0,2013,245
EU19,25.9,0,0.00022,0,2014,245
EU27,33.8,0,0.00038,0,2000,256
EU27,33.1,0,0.00036,0,2001,256
EU27,32.1,0,0.00035,0,2002,256
EU27,30.8,0,0.00031,0,2003,266
EU27,30.1,0,0.00029,0,2004,266
EU27,29.4,0,0.00028,0,2005,266
EU27,28.8,0,0.00027,0,2006,266
EU27,28.6,0,0.00026,0,2007,266
EU27,28.6,0,0.00025,0,2008,266
EU27,27.9,0,0.00024,0,2009,266
EU27,28.2,0,0.00024,0,2010,266
EU27,28.4,0,0.00024,0,2011,266
EU27,28.1,0,0.00023,0,2012,266
EU27,28,0,0.00024,0,2013,266
EU27,27.9,0,0.00024,0,2014,266
BE,24.7,11.4,0.00507,0.01041,2003,11
BE,25.2,11.5,0.0051,0.01055,2004,11
BE,25.9,11.8,0.00523,0.01044,2005,11
BE,25,11.5,0.00485,0.00969,2006,11
BE,24.5,11.5,0.00466,0.00977,2007,11
BE,24.3,11.4,0.00441,0.00948,2008,11
